wav_file_path,phone_contexts
/audio/LibriTTS/test-clean/1188/1188_133604_000045_000001.wav,ɪ_s_t;i_t͡ʃ_t
/audio/LibriTTS/test-clean/5683/5683_32865_000045_000002.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/4077/4077_13751_000008_000001.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/5639/5639_40744_000029_000002.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/260/260_123288_000031_000001.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/1320/1320_122612_000030_000002.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/3570/3570_5695_000000_000004.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/1284/1284_1180_000025_000000.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/8230/8230_279154_000028_000004.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/2961/2961_961_000004_000035.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/1580/1580_141083_000041_000004.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/7729/7729_102255_000035_000002.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/4507/4507_16021_000022_000001.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/4446/4446_2273_000041_000001.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/5639/5639_40744_000015_000001.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/7127/7127_75946_000061_000004.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/3570/3570_5694_000008_000010.wav,ɪ_s_t;i_t͡ʃ_t
/audio/LibriTTS/test-clean/3570/3570_5694_000006_000006.wav,ɪ_s_t;i_t͡ʃ_t
/audio/LibriTTS/test-clean/7176/7176_88083_000004_000003.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/260/260_123288_000023_000001.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/7127/7127_75946_000060_000007.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/237/237_134493_000021_000004.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/8455/8455_210777_000023_000002.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/4446/4446_2273_000035_000004.wav,ɪ_s_t;i_t͡ʃ_t
/audio/LibriTTS/test-clean/2961/2961_961_000004_000006.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/3570/3570_5694_000005_000004.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/1320/1320_122612_000046_000000.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/2830/2830_3980_000015_000000.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/2830/2830_3980_000012_000000.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/1580/1580_141083_000015_000000.wav,ɪ_s_t
/audio/LibriTTS/test-clean/8555/8555_292519_000015_000000.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/4970/4970_29095_000047_000000.wav,ɪ_s_t
/audio/LibriTTS/test-clean/3570/3570_5696_000006_000005.wav,ɪ_s_t
/audio/LibriTTS/test-clean/1188/1188_133604_000038_000003.wav,ɪ_s_t
/audio/LibriTTS/test-clean/1580/1580_141084_000074_000000.wav,ɪ_s_t
/audio/LibriTTS/test-clean/8463/8463_294828_000067_000000.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/7729/7729_102255_000024_000000.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/1089/1089_134686_000009_000002.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/8463/8463_294828_000054_000002.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/7729/7729_102255_000011_000001.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/4992/4992_41806_000034_000003.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/237/237_134493_000022_000001.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/8463/8463_294828_000054_000001.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/1320/1320_122612_000056_000003.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/2300/2300_131720_000033_000008.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/121/121_127105_000042_000004.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/2961/2961_961_000022_000005.wav,ɪ_s_t;i_t͡ʃ_t
/audio/LibriTTS/test-clean/5639/5639_40744_000023_000001.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/8555/8555_284447_000019_000001.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/5105/5105_28241_000003_000004.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/237/237_134500_000017_000001.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/237/237_134500_000009_000003.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/1580/1580_141083_000056_000006.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/7127/7127_75947_000082_000005.wav,i_t͡ʃ_t
/audio/LibriTTS/test-clean/3570/3570_5695_000010_000007.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/4077/4077_13751_000010_000000.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/7176/7176_88083_000013_000001.wav,ɪ_ʃ_t
/audio/LibriTTS/test-clean/237/237_134493_000005_000005.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/2830/2830_3980_000019_000000.wav,ɪ_s_t;i_t͡ʃ_t
/audio/LibriTTS/test-clean/1089/1089_134691_000024_000000.wav,ɪ_s_t;ɪ_ʃ_t
/audio/LibriTTS/test-clean/2830/2830_3980_000017_000000.wav,ɪ_s_t;ɪ_ʃ_t
